DistAlong,Variant,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
2300.000000,PlacementRelTo-2.5,2456.371730,1301.984039,127.351562,0.973282,-0.229607,-0.001406,0.229608,0.973283,0.000000,0.001369,-0.000323,0.999999
2400.000000,OffsetVertical+2.5,2554.692754,1283.922871,132.124988,0.991339,-0.131294,-0.003125,0.131294,0.991343,0.000000,0.003098,-0.000410,0.999995
2400.000000,OffsetVertical-2.5,2554.677264,1283.924923,127.125012,0.991339,-0.131294,-0.003125,0.131294,0.991343,0.000000,0.003098,-0.000410,0.999995
2400.000000,PlacementRelTo+2.5,2554.685009,1283.923897,132.125000,0.991339,-0.131294,-0.003125,0.131294,0.991343,0.000000,0.003098,-0.000410,0.999995
2400.000000,PlacementRelTo-2.5,2554.685009,1283.923897,127.125000,0.991339,-0.131294,-0.003125,0.131294,0.991343,0.000000,0.003098,-0.000410,0.999995
2500.000000,OffsetVertical+2.5,2654.322239,1275.768548,131.726533,0.999487,-0.031669,-0.004844,0.031669,0.999498,0.000000,0.004841,-0.000153,0.999988
2500.000000,OffsetVertical-2.5,2654.298033,1275.769315,126.726592,0.999487,-0.031669,-0.004844,0.031669,0.999498,0.000000,0.004841,-0.000153,0.999988
2500.000000,PlacementRelTo+2.5,2654.310136,1275.768931,131.726562,0.999487,-0.031669,-0.004844,0.031669,0.999498,0.000000,0.004841,-0.000153,0.999988
2500.000000,PlacementRelTo-2.5,2654.310136,1275.768931,126.726562,0.999487,-0.031669,-0.004844,0.031669,0.999498,0.000000,0.004841,-0.000153,0.999988
2600.000000,OffsetVertical+2.5,2754.268058,1277.601744,131.156196,0.997645,0.068271,-0.006562,-0.068272,0.997667,-0.000000,0.006547,0.000448,0.999978
2600.000000,OffsetVertical-2.5,2754.235323,1277.599503,126.156304,0.997645,0.068271,-0.006562,-0.068272,0.997667,-0.000000,0.006547,0.000448,0.999978
2600.000000,PlacementRelTo+2.5,2754.251691,1277.600623,131.156250,0.997645,0.068271,-0.006562,-0.068272,0.997667,-0.000000,0.006547,0.000448,0.999978
2600.000000,PlacementRelTo-2.5,2754.251691,1277.600623,126.156250,0.997645,0.068271,-0.006562,-0.068272,0.997667,-0.000000,0.006547,0.000448,0.999978
2700.000000,OffsetVertical+2.5,2853.531500,1289.404140,130.413977,0.985833,0.167526,-0.008281,-0.167532,0.985867,0.000000,0.008164,0.001387,0.999966
2700.000000,OffsetVertical-2.5,2853.490680,1289.397203,125.414148,0.985833,0.167526,-0.008281,-0.167532,0.985867,0.000000,0.008164,0.001387,0.999966
2700.000000,PlacementRelTo+2.5,2853.511090,1289.400671,130.414062,0.985833,0.167526,-0.008281,-0.167532,0.985867,0.000000,0.008164,0.001387,0.999966
2700.000000,PlacementRelTo-2.5,2853.511090,1289.400671,125.414062,0.985833,0.167526,-0.008281,-0.167532,0.985867,0.000000,0.008164,0.001387,0.999966
2800.000000,OffsetVertical+2.5,2951.120671,1311.057801,129.499875,0.964168,0.265104,-0.010000,-0.265117,0.964216,0.000000,0.009642,0.002651,0.999950
2800.000000,OffsetVertical-2.5,2951.072462,1311.044546,124.500125,0.964168,0.265104,-0.010000,-0.265117,0.964216,0.000000,0.009642,0.002651,0.999950
2800.000000,PlacementRelTo+2.5,2951.096566,1311.051173,129.500000,0.964168,0.265104,-0.010000,-0.265117,0.964216,0.000000,0.009642,0.002651,0.999950
2800.000000,PlacementRelTo-2.5,2951.096566,1311.051173,124.500000,0.964168,0.265104,-0.010000,-0.265117,0.964216,0.000000,0.009642,0.002651,0.999950
2900.000000,OffsetVertical+2.5,3046.056400,1342.344805,128.499875,0.932885,0.360036,-0.009999,-0.360054,0.932932,0.000000,0.009329,0.003600,0.999950
2900.000000,OffsetVertical-2.5,3046.009756,1342.326804,123.500125,0.932885,0.360036,-0.009999,-0.360054,0.932932,0.000000,0.009329,0.003600,0.999950
2900.000000,PlacementRelTo+2.5,3046.033078,1342.335804,128.500000,0.932885,0.360036,-0.009999,-0.360054,0.932932,0.000000,0.009329,0.003600,0.999950
2900.000000,PlacementRelTo-2.5,3046.033078,1342.335804,123.500000,0.932885,0.360036,-0.009999,-0.360054,0.932932,0.000000,0.009329,0.003600,0.999950
3000.000000,OffsetVertical+2.5,3137.394359,1382.953263,127.499875,0.892281,0.451370,-0.009999,-0.451393,0.892325,0.000000,0.008923,0.004514,0.999950
3000.000000,OffsetVertical-2.5,3137.349744,1382.930695,122.500125,0.892281,0.451370,-0.009999,-0.451393,0.892325,0.000000,0.008923,0.004514,0.999950
3000.000000,PlacementRelTo+2.5,3137.372052,1382.941979,127.500000,0.892281,0.451370,-0.009999,-0.451393,0.892325,0.000000,0.008923,0.004514,0.999950
3000.000000,PlacementRelTo-2.5,3137.372052,1382.941979,122.500000,0.892281,0.451370,-0.009999,-0.451393,0.892325,0.000000,0.008923,0.004514,0.999950
3100.000000,OffsetVertical+2.5,3224.221926,1432.477428,126.499875,0.842761,0.538195,-0.009999,-0.538222,0.842803,0.000000,0.008428,0.005382,0.999950
3100.000000,OffsetVertical-2.5,3224.179788,1432.450519,121.500125,0.842761,0.538195,-0.009999,-0.538222,0.842803,0.000000,0.008428,0.005382,0.999950
3100.000000,PlacementRelTo+2.5,3224.200857,1432.463974,126.500000,0.842761,0.538195,-0.009999,-0.538222,0.842803,0.000000,0.008428,0.005382,0.999950
3100.000000,PlacementRelTo-2.5,3224.200857,1432.463974,121.500000,0.842761,0.538195,-0.009999,-0.538222,0.842803,0.000000,0.008428,0.005382,0.999950
3200.000000,OffsetVertical+2.5,3305.671551,1490.422472,125.499875,0.784821,0.619642,-0.009999,-0.619673,0.784860,0.000000,0.007848,0.006196,0.999950
3200.000000,OffsetVertical-2.5,3305.632310,1490.391490,120.500125,0.784821,0.619642,-0.009999,-0.619673,0.784860,0.000000,0.007848,0.006196,0.999950
3200.000000,PlacementRelTo+2.5,3305.651931,1490.406981,125.500000,0.784821,0.619642,-0.009999,-0.619673,0.784860,0.000000,0.007848,0.006196,0.999950
3200.000000,PlacementRelTo-2.5,3305.651931,1490.406981,120.500000,0.784821,0.619642,-0.009999,-0.619673,0.784860,0.000000,0.007848,0.006196,0.999950
